,disparities_FIPS,disparities_County,disparities_State,disparities_Condition,disparities_Urban/Rural,disparities_Total,disparities_Total No. of Beneficiaries,disparities_White,disparities_No. of Beneficiaries Who are White,disparities_Black,disparities_No. of Beneficiaries Who are Black,disparities_Asian/Pacific Islander,disparities_No. of Beneficiaries Who are Asian/Pacific Islander,disparities_Hispanic,disparities_No. of Beneficiaries Who are Hispanic,disparities_American Indian/Alaska Native,disparities_No. of Beneficiaries Who are American Indian/Alaska Native,disparities_Other,disparities_No. of Beneficiaries Who are in Other Ethic Groups,covid_date_as_of,covid_last_week,covid_state,covid_county_name,covid_fips_county_code,covid_deaths_involving_covid_19,covid_deaths_from_all_causes,covid_Longitude,covid_Latitude
2318,45003,AIKEN,SC,Chronic Kidney Disease,Urban,26,"[10,000+]",24.0,"[10,000+]",36.0,"[1,000-4,999]",21.0,[11-499],26.0,[11-499],16.0,[11-499],24.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Aiken County,45003.0,79.0,1382.0,-80.864614,33.878572
2320,45007,ANDERSON,SC,Chronic Kidney Disease,Urban,27,"[10,000+]",27.0,"[10,000+]",32.0,"[1,000-4,999]",23.0,[11-499],30.0,[11-499],23.0,[11-499],28.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Anderson County,45007.0,198.0,2079.0,-80.864614,33.878572
2323,45013,BEAUFORT,SC,Chronic Kidney Disease,Rural,18,"[10,000+]",16.0,"[10,000+]",33.0,"[1,000-4,999]",18.0,[11-499],19.0,[11-499],,*,16.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Beaufort County,45013.0,73.0,1232.0,-80.864614,33.878572
2324,45015,BERKELEY,SC,Chronic Kidney Disease,Urban,26,"[10,000+]",24.0,"[10,000+]",34.0,"[1,000-4,999]",29.0,[11-499],28.0,[11-499],,*,25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Berkeley County,45015.0,54.0,1133.0,-80.864614,33.878572
2325,45017,CALHOUN,SC,Chronic Kidney Disease,Urban,26,"[1,000-4,999]",22.0,[500-999],32.0,[500-999],,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Calhoun County,45017.0,13.0,110.0,-80.864614,33.878572
2326,45019,CHARLESTON,SC,Chronic Kidney Disease,Urban,20,"[10,000+]",17.0,"[10,000+]",30.0,"[10,000+]",22.0,[11-499],20.0,[500-999],32.0,[11-499],19.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Charleston County,45019.0,376.0,4030.0,-80.864614,33.878572
2327,45021,CHEROKEE,SC,Chronic Kidney Disease,Rural,25,"[5,000-9,999]",24.0,"[5,000-9,999]",34.0,[500-999],32.0,[11-499],31.0,[11-499],,*,38.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Cherokee County,45021.0,11.0,374.0,-80.864614,33.878572
2329,45025,CHESTERFIELD,SC,Chronic Kidney Disease,Rural,26,"[5,000-9,999]",24.0,"[1,000-4,999]",30.0,"[1,000-4,999]",26.0,[11-499],21.0,[11-499],,*,24.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Chesterfield County,45025.0,24.0,358.0,-80.864614,33.878572
2330,45027,CLARENDON,SC,Chronic Kidney Disease,Rural,25,"[5,000-9,999]",22.0,"[1,000-4,999]",30.0,"[1,000-4,999]",,[11-499],22.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Clarendon County,45027.0,32.0,254.0,-80.864614,33.878572
2331,45029,COLLETON,SC,Chronic Kidney Disease,Rural,24,"[5,000-9,999]",22.0,"[1,000-4,999]",30.0,"[1,000-4,999]",29.0,[11-499],13.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Colleton County,45029.0,39.0,416.0,-80.864614,33.878572
2332,45031,DARLINGTON,SC,Chronic Kidney Disease,Urban,31,"[10,000+]",29.0,"[5,000-9,999]",35.0,"[1,000-4,999]",41.0,[11-499],22.0,[11-499],,*,29.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Darlington County,45031.0,66.0,504.0,-80.864614,33.878572
2333,45033,DILLON,SC,Chronic Kidney Disease,Rural,26,"[1,000-4,999]",25.0,"[1,000-4,999]",30.0,"[1,000-4,999]",,*,36.0,[11-499],46.0,[11-499],29.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Dillon County,45033.0,18.0,265.0,-80.864614,33.878572
2334,45035,DORCHESTER,SC,Chronic Kidney Disease,Urban,25,"[10,000+]",23.0,"[10,000+]",33.0,"[1,000-4,999]",19.0,[11-499],20.0,[11-499],27.0,[11-499],19.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Dorchester County,45035.0,61.0,760.0,-80.864614,33.878572
2336,45039,FAIRFIELD,SC,Chronic Kidney Disease,Urban,24,"[1,000-4,999]",21.0,"[1,000-4,999]",29.0,"[1,000-4,999]",,[11-499],32.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Fairfield County,45039.0,13.0,177.0,-80.864614,33.878572
2337,45041,FLORENCE,SC,Chronic Kidney Disease,Urban,29,"[10,000+]",26.0,"[10,000+]",35.0,"[5,000-9,999]",17.0,[11-499],10.0,[11-499],,*,21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Florence County,45041.0,371.0,2519.0,-80.864614,33.878572
2338,45043,GEORGETOWN,SC,Chronic Kidney Disease,Rural,20,"[10,000+]",18.0,"[10,000+]",29.0,"[1,000-4,999]",22.0,[11-499],20.0,[11-499],,*,17.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Georgetown County,45043.0,67.0,785.0,-80.864614,33.878572
2339,45045,GREENVILLE,SC,Chronic Kidney Disease,Urban,23,"[10,000+]",22.0,"[10,000+]",33.0,"[5,000-9,999]",18.0,[11-499],20.0,[500-999],28.0,[11-499],18.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Greenville County,45045.0,358.0,4483.0,-80.864614,33.878572
2340,45047,GREENWOOD,SC,Chronic Kidney Disease,Rural,24,"[10,000+]",22.0,"[5,000-9,999]",32.0,"[1,000-4,999]",16.0,[11-499],26.0,[11-499],,*,30.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Greenwood County,45047.0,107.0,900.0,-80.864614,33.878572
2341,45049,HAMPTON,SC,Chronic Kidney Disease,Rural,26,"[1,000-4,999]",22.0,"[1,000-4,999]",31.0,"[1,000-4,999]",,*,36.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Hampton County,45049.0,22.0,146.0,-80.864614,33.878572
2342,45051,HORRY,SC,Chronic Kidney Disease,Urban,21,"[10,000+]",21.0,"[10,000+]",32.0,"[1,000-4,999]",21.0,[11-499],22.0,[500-999],22.0,[11-499],22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Horry County,45051.0,222.0,3339.0,-80.864614,33.878572
2343,45053,JASPER,SC,Chronic Kidney Disease,Rural,26,"[1,000-4,999]",20.0,"[1,000-4,999]",36.0,[500-999],24.0,[11-499],29.0,[11-499],,*,27.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Jasper County,45053.0,29.0,259.0,-80.864614,33.878572
2344,45055,KERSHAW,SC,Chronic Kidney Disease,Urban,25,"[10,000+]",23.0,"[5,000-9,999]",32.0,"[1,000-4,999]",13.0,[11-499],17.0,[11-499],,*,11.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Kershaw County,45055.0,21.0,479.0,-80.864614,33.878572
2345,45057,LANCASTER,SC,Chronic Kidney Disease,Rural,28,"[10,000+]",26.0,"[5,000-9,999]",35.0,"[1,000-4,999]",15.0,[11-499],23.0,[11-499],,*,29.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Lancaster County,45057.0,55.0,652.0,-80.864614,33.878572
2346,45059,LAURENS,SC,Chronic Kidney Disease,Urban,25,"[5,000-9,999]",23.0,"[5,000-9,999]",33.0,"[1,000-4,999]",19.0,[11-499],22.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Laurens County,45059.0,33.0,565.0,-80.864614,33.878572
2348,45063,LEXINGTON,SC,Chronic Kidney Disease,Urban,21,"[10,000+]",20.0,"[10,000+]",30.0,"[1,000-4,999]",14.0,[11-499],21.0,[11-499],29.0,[11-499],27.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Lexington County,45063.0,191.0,2341.0,-80.864614,33.878572
2350,45067,MARION,SC,Chronic Kidney Disease,Rural,27,"[5,000-9,999]",25.0,"[1,000-4,999]",31.0,"[1,000-4,999]",,[11-499],16.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Marion County,45067.0,17.0,240.0,-80.864614,33.878572
2352,45071,NEWBERRY,SC,Chronic Kidney Disease,Rural,23,"[5,000-9,999]",22.0,"[1,000-4,999]",30.0,"[1,000-4,999]",29.0,[11-499],30.0,[11-499],,*,28.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Newberry County,45071.0,28.0,341.0,-80.864614,33.878572
2353,45073,OCONEE,SC,Chronic Kidney Disease,Rural,21,"[10,000+]",20.0,"[10,000+]",32.0,[500-999],18.0,[11-499],20.0,[11-499],,*,29.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Oconee County,45073.0,26.0,715.0,-80.864614,33.878572
2354,45075,ORANGEBURG,SC,Chronic Kidney Disease,Rural,27,"[10,000+]",22.0,"[5,000-9,999]",32.0,"[5,000-9,999]",13.0,[11-499],29.0,[11-499],,*,25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Orangeburg County,45075.0,124.0,910.0,-80.864614,33.878572
2355,45077,PICKENS,SC,Chronic Kidney Disease,Urban,22,"[10,000+]",22.0,"[10,000+]",29.0,[500-999],12.0,[11-499],19.0,[11-499],,*,21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Pickens County,45077.0,35.0,759.0,-80.864614,33.878572
2356,45079,RICHLAND,SC,Chronic Kidney Disease,Urban,22,"[10,000+]",18.0,"[10,000+]",30.0,"[10,000+]",16.0,[11-499],17.0,[500-999],21.0,[11-499],21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Richland County,45079.0,344.0,3440.0,-80.864614,33.878572
2357,45081,SALUDA,SC,Chronic Kidney Disease,Urban,25,"[1,000-4,999]",21.0,"[1,000-4,999]",36.0,[11-499],,*,26.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Saluda County,45081.0,10.0,121.0,-80.864614,33.878572
2358,45083,SPARTANBURG,SC,Chronic Kidney Disease,Urban,22,"[10,000+]",21.0,"[10,000+]",31.0,"[1,000-4,999]",19.0,[11-499],21.0,[11-499],18.0,[11-499],17.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Spartanburg County,45083.0,277.0,3075.0,-80.864614,33.878572
2359,45085,SUMTER,SC,Chronic Kidney Disease,Urban,32,"[10,000+]",29.0,"[5,000-9,999]",36.0,"[5,000-9,999]",21.0,[11-499],30.0,[11-499],,*,32.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Sumter County,45085.0,79.0,952.0,-80.864614,33.878572
2361,45089,WILLIAMSBURG,SC,Chronic Kidney Disease,Rural,26,"[1,000-4,999]",23.0,"[1,000-4,999]",28.0,"[1,000-4,999]",,*,29.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Williamsburg County,45089.0,18.0,223.0,-80.864614,33.878572
2362,45091,YORK,SC,Chronic Kidney Disease,Urban,21,"[10,000+]",20.0,"[10,000+]",31.0,"[1,000-4,999]",20.0,[11-499],17.0,[500-999],33.0,[11-499],18.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,York County,45091.0,97.0,1725.0,-80.864614,33.878572
2377,46029,CODINGTON,SD,Chronic Kidney Disease,Rural,25,"[1,000-4,999]",25.0,"[1,000-4,999]",,*,,[11-499],,*,26.0,[11-499],,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SD,Codington County,46029.0,12.0,225.0,-100.230491,44.43614
2399,46073,JERAULD,SD,Chronic Kidney Disease,Rural,18,[11-499],18.0,[11-499],,*,,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SD,Jerauld County,46073.0,12.0,27.0,-100.230491,44.43614
2404,46083,LINCOLN,SD,Chronic Kidney Disease,Urban,23,"[1,000-4,999]",23.0,"[1,000-4,999]",,*,,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SD,Lincoln County,46083.0,13.0,209.0,-100.230491,44.43614
2412,46099,MINNEHAHA,SD,Chronic Kidney Disease,Urban,21,"[10,000+]",21.0,"[10,000+]",24.0,[11-499],24.0,[11-499],23.0,[11-499],26.0,[11-499],16.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SD,Minnehaha County,46099.0,217.0,1976.0,-100.230491,44.43614
2414,46103,PENNINGTON,SD,Chronic Kidney Disease,Urban,17,"[10,000+]",17.0,"[10,000+]",23.0,[11-499],15.0,[11-499],14.0,[11-499],25.0,"[1,000-4,999]",22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SD,Pennington County,46103.0,66.0,967.0,-100.230491,44.43614
2428,46135,YANKTON,SD,Chronic Kidney Disease,Rural,22,"[1,000-4,999]",22.0,"[1,000-4,999]",,[11-499],25.0,[11-499],25.0,[11-499],31.0,[11-499],,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SD,Yankton County,46135.0,13.0,215.0,-100.230491,44.43614
2430,47001,ANDERSON,TN,Chronic Kidney Disease,Urban,25,"[5,000-9,999]",25.0,"[5,000-9,999]",33.0,[11-499],13.0,[11-499],22.0,[11-499],,*,28.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Anderson County,47001.0,18.0,869.0,-86.343226,35.842998
2434,47009,BLOUNT,TN,Chronic Kidney Disease,Urban,25,"[10,000+]",25.0,"[10,000+]",40.0,[11-499],24.0,[11-499],18.0,[11-499],20.0,[11-499],27.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Blount County,47009.0,32.0,1064.0,-86.343226,35.842998
2435,47011,BRADLEY,TN,Chronic Kidney Disease,Urban,28,"[10,000+]",28.0,"[10,000+]",33.0,[11-499],15.0,[11-499],15.0,[11-499],33.0,[11-499],45.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Bradley County,47011.0,26.0,856.0,-86.343226,35.842998
2438,47017,CARROLL,TN,Chronic Kidney Disease,Rural,26,"[5,000-9,999]",26.0,"[5,000-9,999]",31.0,[11-499],,*,22.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Carroll County,47017.0,19.0,287.0,-86.343226,35.842998
2439,47019,CARTER,TN,Chronic Kidney Disease,Urban,26,"[1,000-4,999]",26.0,"[1,000-4,999]",30.0,[11-499],,[11-499],19.0,[11-499],,*,36.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Carter County,47019.0,18.0,521.0,-86.343226,35.842998
2444,47029,COCKE,TN,Chronic Kidney Disease,Rural,32,"[1,000-4,999]",32.0,"[1,000-4,999]",30.0,[11-499],,*,19.0,[11-499],,*,40.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Cocke County,47029.0,10.0,361.0,-86.343226,35.842998
2445,47031,COFFEE,TN,Chronic Kidney Disease,Rural,31,"[5,000-9,999]",30.0,"[5,000-9,999]",36.0,[11-499],17.0,[11-499],37.0,[11-499],,*,29.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Coffee County,47031.0,24.0,489.0,-86.343226,35.842998
2447,47035,CUMBERLAND,TN,Chronic Kidney Disease,Rural,21,"[10,000+]",21.0,"[10,000+]",21.0,[11-499],15.0,[11-499],16.0,[11-499],,*,20.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Cumberland County,47035.0,20.0,640.0,-86.343226,35.842998
2448,47037,DAVIDSON,TN,Chronic Kidney Disease,Urban,28,"[10,000+]",26.0,"[10,000+]",36.0,"[5,000-9,999]",24.0,[500-999],29.0,[500-999],33.0,[11-499],28.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Davidson County,47037.0,565.0,7481.0,-86.343226,35.842998
2450,47041,DE KALB,TN,Chronic Kidney Disease,Rural,27,"[1,000-4,999]",27.0,"[1,000-4,999]",39.0,[11-499],,*,22.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,DeKalb County,47041.0,10.0,188.0,-86.343226,35.842998
2451,47043,DICKSON,TN,Chronic Kidney Disease,Urban,29,"[5,000-9,999]",29.0,"[5,000-9,999]",43.0,[11-499],29.0,[11-499],20.0,[11-499],,*,31.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Dickson County,47043.0,25.0,432.0,-86.343226,35.842998
2452,47045,DYER,TN,Chronic Kidney Disease,Rural,25,"[5,000-9,999]",25.0,"[5,000-9,999]",30.0,[500-999],28.0,[11-499],10.0,[11-499],,*,31.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Dyer County,47045.0,27.0,402.0,-86.343226,35.842998
2455,47051,FRANKLIN,TN,Chronic Kidney Disease,Rural,26,"[5,000-9,999]",26.0,"[5,000-9,999]",31.0,[11-499],24.0,[11-499],23.0,[11-499],,*,21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Franklin County,47051.0,12.0,368.0,-86.343226,35.842998
2456,47053,GIBSON,TN,Chronic Kidney Disease,Rural,30,"[5,000-9,999]",28.0,"[5,000-9,999]",39.0,"[1,000-4,999]",,*,31.0,[11-499],,*,35.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Gibson County,47053.0,19.0,466.0,-86.343226,35.842998
2457,47055,GILES,TN,Chronic Kidney Disease,Rural,26,"[1,000-4,999]",26.0,"[1,000-4,999]",34.0,[11-499],,[11-499],27.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Giles County,47055.0,19.0,294.0,-86.343226,35.842998
2459,47059,GREENE,TN,Chronic Kidney Disease,Rural,26,"[5,000-9,999]",26.0,"[5,000-9,999]",31.0,[11-499],,[11-499],26.0,[11-499],,*,19.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Greene County,47059.0,22.0,613.0,-86.343226,35.842998
2461,47063,HAMBLEN,TN,Chronic Kidney Disease,Urban,28,"[5,000-9,999]",28.0,"[5,000-9,999]",36.0,[11-499],36.0,[11-499],23.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Hamblen County,47063.0,48.0,680.0,-86.343226,35.842998
2462,47065,HAMILTON,TN,Chronic Kidney Disease,Urban,26,"[10,000+]",25.0,"[10,000+]",36.0,"[1,000-4,999]",19.0,[11-499],19.0,[11-499],29.0,[11-499],22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Hamilton County,47065.0,201.0,4308.0,-86.343226,35.842998
2465,47071,HARDIN,TN,Chronic Kidney Disease,Rural,24,"[1,000-4,999]",24.0,"[1,000-4,999]",28.0,[11-499],21.0,[11-499],56.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Hardin County,47071.0,10.0,273.0,-86.343226,35.842998
2466,47073,HAWKINS,TN,Chronic Kidney Disease,Urban,28,"[5,000-9,999]",28.0,"[5,000-9,999]",42.0,[11-499],,*,22.0,[11-499],,*,14.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Hawkins County,47073.0,10.0,395.0,-86.343226,35.842998
2468,47077,HENDERSON,TN,Chronic Kidney Disease,Rural,26,"[1,000-4,999]",25.0,"[1,000-4,999]",35.0,[11-499],,*,30.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Henderson County,47077.0,12.0,233.0,-86.343226,35.842998
2474,47089,JEFFERSON,TN,Chronic Kidney Disease,Urban,28,"[5,000-9,999]",28.0,"[5,000-9,999]",36.0,[11-499],22.0,[11-499],27.0,[11-499],,*,29.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Jefferson County,47089.0,11.0,472.0,-86.343226,35.842998
2476,47093,KNOX,TN,Chronic Kidney Disease,Urban,25,"[10,000+]",25.0,"[10,000+]",35.0,"[1,000-4,999]",20.0,[11-499],23.0,[11-499],15.0,[11-499],22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Knox County,47093.0,189.0,5291.0,-86.343226,35.842998
2483,47107,MC MINN,TN,Chronic Kidney Disease,Rural,28,"[5,000-9,999]",28.0,"[5,000-9,999]",29.0,[11-499],,[11-499],22.0,[11-499],,*,25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,McMinn County,47107.0,24.0,503.0,-86.343226,35.842998
2486,47113,MADISON,TN,Chronic Kidney Disease,Urban,28,"[10,000+]",26.0,"[10,000+]",36.0,"[1,000-4,999]",21.0,[11-499],26.0,[11-499],,*,22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Madison County,47113.0,234.0,1681.0,-86.343226,35.842998
2489,47119,MAURY,TN,Chronic Kidney Disease,Rural,27,"[10,000+]",26.0,"[10,000+]",37.0,[500-999],39.0,[11-499],16.0,[11-499],,*,38.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Maury County,47119.0,54.0,942.0,-86.343226,35.842998
2491,47123,MONROE,TN,Chronic Kidney Disease,Rural,25,"[5,000-9,999]",25.0,"[5,000-9,999]",38.0,[11-499],,[11-499],19.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Monroe County,47123.0,15.0,385.0,-86.343226,35.842998
2492,47125,MONTGOMERY,TN,Chronic Kidney Disease,Urban,27,"[10,000+]",26.0,"[10,000+]",31.0,"[1,000-4,999]",22.0,[11-499],22.0,[500-999],29.0,[11-499],27.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Montgomery County,47125.0,41.0,1067.0,-86.343226,35.842998
2495,47131,OBION,TN,Chronic Kidney Disease,Rural,29,"[5,000-9,999]",28.0,"[5,000-9,999]",42.0,[11-499],,*,15.0,[11-499],,*,19.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Obion County,47131.0,18.0,279.0,-86.343226,35.842998
2496,47133,OVERTON,TN,Chronic Kidney Disease,Rural,25,"[1,000-4,999]",25.0,"[1,000-4,999]",,*,,*,29.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Overton County,47133.0,17.0,234.0,-86.343226,35.842998
2500,47141,PUTNAM,TN,Chronic Kidney Disease,Rural,25,"[10,000+]",24.0,"[10,000+]",34.0,[11-499],18.0,[11-499],21.0,[11-499],,*,35.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Putnam County,47141.0,68.0,979.0,-86.343226,35.842998
2503,47147,ROBERTSON,TN,Chronic Kidney Disease,Urban,32,"[5,000-9,999]",32.0,"[5,000-9,999]",37.0,[11-499],29.0,[11-499],18.0,[11-499],,*,40.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Robertson County,47147.0,18.0,501.0,-86.343226,35.842998
2504,47149,RUTHERFORD,TN,Chronic Kidney Disease,Urban,30,"[10,000+]",29.0,"[10,000+]",37.0,"[1,000-4,999]",28.0,[11-499],28.0,[11-499],18.0,[11-499],35.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Rutherford County,47149.0,171.0,2213.0,-86.343226,35.842998
2507,47155,SEVIER,TN,Chronic Kidney Disease,Rural,25,"[10,000+]",25.0,"[10,000+]",26.0,[11-499],26.0,[11-499],19.0,[11-499],43.0,[11-499],27.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Sevier County,47155.0,14.0,732.0,-86.343226,35.842998
2508,47157,SHELBY,TN,Chronic Kidney Disease,Urban,26,"[10,000+]",22.0,"[10,000+]",33.0,"[10,000+]",19.0,"[1,000-4,999]",21.0,[500-999],20.0,[11-499],21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Shelby County,47157.0,598.0,8682.0,-86.343226,35.842998
2511,47163,SULLIVAN,TN,Chronic Kidney Disease,Urban,27,"[10,000+]",27.0,"[10,000+]",33.0,[11-499],27.0,[11-499],24.0,[11-499],,*,18.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Sullivan County,47163.0,104.0,2528.0,-86.343226,35.842998
2512,47165,SUMNER,TN,Chronic Kidney Disease,Urban,31,"[10,000+]",30.0,"[10,000+]",34.0,[500-999],33.0,[11-499],32.0,[11-499],25.0,[11-499],28.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Sumner County,47165.0,110.0,1278.0,-86.343226,35.842998
2519,47179,WASHINGTON,TN,Chronic Kidney Disease,Urban,25,"[10,000+]",25.0,"[10,000+]",29.0,[11-499],15.0,[11-499],26.0,[11-499],,*,27.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Washington County,47179.0,88.0,1842.0,-86.343226,35.842998
2523,47187,WILLIAMSON,TN,Chronic Kidney Disease,Urban,20,"[10,000+]",20.0,"[10,000+]",31.0,[500-999],24.0,[11-499],17.0,[11-499],,*,25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Williamson County,47187.0,58.0,978.0,-86.343226,35.842998
2524,47189,WILSON,TN,Chronic Kidney Disease,Urban,26,"[10,000+]",26.0,"[10,000+]",38.0,[500-999],25.0,[11-499],19.0,[11-499],,*,12.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Wilson County,47189.0,27.0,800.0,-86.343226,35.842998
2525,48001,ANDERSON,TX,Chronic Kidney Disease,Rural,23,"[5,000-9,999]",22.0,"[5,000-9,999]",31.0,[500-999],29.0,[11-499],24.0,[11-499],27.0,[11-499],21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Anderson County,48001.0,32.0,429.0,-99.317341,31.447238
2527,48005,ANGELINA,TX,Chronic Kidney Disease,Rural,33,"[10,000+]",32.0,"[5,000-9,999]",39.0,"[1,000-4,999]",28.0,[11-499],33.0,[500-999],33.0,[11-499],21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Angelina County,48005.0,75.0,873.0,-99.317341,31.447238
